"","Signature_1","Signature_13","Signature_18","Signature_2","Signature_3","Signature_33","Signature_34","Signature_41","Signature_5","Signature_8","df.extra"
"TCGA.EA.A5ZD",61.183270442778,99.5790955888588,631.053946863032,136.23597937821,NA,88.5212872029618,NA,NA,2086.80870594549,906.226822227877,0
"TCGA.DR.A0ZL",NA,NA,1210.09902625959,303.512002262004,1230.40074546236,138.480061220798,109.902258380953,NA,2824.17636222969,906.568132718857,1230.40074546236
"TCGA.BI.A0VS",225.674855286653,117.498503275025,NA,38.948394252315,NA,240.560126761532,NA,259.072233332928,6771.15801458618,992.086951057973,0
"TCGA.BI.A0VR",162.768164159293,NA,NA,30.9122008644308,1355.07429344081,348.553314782979,NA,304.854075008547,4713.64104593476,410.934273034058,1355.07429344081
"TCGA.Q1.A73P",458.025008589368,NA,NA,4.30377149947279,1235.45508329009,196.940326534426,NA,534.15266678613,3352.57376967947,338.587161506687,1235.45508329009
"TCGA.EA.A3HT",199.667900976757,NA,NA,174.493050441192,3679.23932706468,308.662824249476,231.720336022108,NA,5358.62146499842,637.417026280727,3679.23932706468
"TCGA.VS.A950",315.636485243761,NA,71.3674286758865,2.66783712428509,899.523037417662,157.603151859872,NA,NA,2310.61529462332,203.011319421772,899.523037417662
"TCGA.JX.A3PZ",113.471184383622,143.307335704981,NA,56.4069076243326,442.660091086448,151.833748493087,NA,NA,2979.94780042788,869.442511384888,442.660091086448
"TCGA.EA.A439",99.1021619971749,NA,103.853922662143,0.830023835899142,63.3799064329369,118.556014445101,NA,NA,1787.63167265814,240.905598268592,63.3799064329369
"TCGA.ZJ.AAXI",21.1528179163566,NA,NA,82.9247563646892,998.151109087608,96.9640728838243,NA,353.029929838958,1837.44591136263,182.317194049609,998.151109087608
"TCGA.EK.A2PL",59.7805890150608,67.5154277242746,212.572888807956,NA,NA,166.684255650039,NA,132.58918767687,3213.34439842853,755.761771894612,0
"TCGA.DS.A1OA",57.9296902900212,NA,NA,183.061351118306,1286.76562573673,292.493713652742,NA,731.37934896158,6755.92370200306,1472.82775483792,1286.76562573673
"TCGA.WL.A834",325.134387377486,165.38344455377,NA,NA,601.844503288408,375.276156770406,NA,471.887032243154,9359.97006375376,881.124677875525,601.844503288408
"TCGA.VS.A9UO",272.556404725309,NA,118.794219446166,NA,247.983005471022,282.75867781921,NA,216.870987469049,5040.22230632713,853.989363848187,247.983005471022
"TCGA.C5.A7X3",NA,1290.04382823563,10261.8040792079,NA,NA,107.630936246491,NA,NA,NA,NA,0
"TCGA.VS.A9U7",70.6268613581658,607.527913767889,634.652252051982,861.86495619798,NA,48.3224633887951,NA,NA,1754.22804658923,676.774421417827,0
"TCGA.EX.A69L",176.462516205349,621.381228438444,NA,499.332744394105,564.128964149998,181.730119357549,NA,NA,2045.93246136097,245.209667272118,564.128964149998
"TCGA.EA.A1QS",NA,NA,NA,37.274727220947,1222.30870354218,72.7321987165503,52.6181003622347,199.636678663099,1285.53719511555,287.96962361249,1222.30870354218
"TCGA.LP.A7HU",NA,NA,22503.1414861677,902.813462376272,NA,50.1611226421766,NA,10240.0782059977,NA,NA,0
"TCGA.FU.A3TQ",NA,211.855715378324,203.923370273032,286.306006909018,NA,199.352007422919,NA,374.531216966041,4371.55249758424,1539.6665797012,0
"TCGA.EK.A2IP",135.249325083004,61.0088065606331,675.24741647611,166.394436589151,349.80852908542,NA,NA,NA,2744.16024753424,391.355121655553,349.80852908542
"TCGA.VS.A9V4",459.726686621608,NA,NA,35.8020551260445,968.873359075463,374.983929756976,NA,358.813759534708,7561.82546103987,724.763116384955,968.873359075463
"TCGA.VS.A9UL",474.97990756381,NA,NA,181.39962032907,700.567744913215,187.042566336891,NA,196.624285962024,5215.38763748493,155.215178194843,700.567744913215
"TCGA.HM.A3JK",NA,NA,NA,79.4677598555385,1108.62332554388,74.2451735247722,NA,530.134675397278,1740.63302981245,177.707775260963,1108.62332554388
"TCGA.DG.A2KJ",59.8174588932853,NA,492.69545407389,NA,605.329097526521,70.965569322594,NA,NA,685.702175025967,256.038338107392,605.329097526521
"TCGA.EK.A2H0",99.2670764864089,NA,852.30592887329,14.1597789453564,675.574583215147,88.5627477798898,NA,NA,1960.5528567303,350.303611550218,675.574583215147
"TCGA.HM.A6W2",151.222655495252,NA,363.797864938413,128.115974298329,3316.39995198638,206.906428210402,NA,NA,1369.94875004883,37.8955495341721,3316.39995198638
"TCGA.HM.A6W2.1",143.772423693083,53.8407254055133,NA,55.8870813449368,416.88676249467,182.354398469108,NA,NA,2741.96819102866,732.834292765813,416.88676249467
"TCGA.IR.A3LL",110.027030426609,NA,123.096264645627,50.7193298519121,490.813307270897,126.577419761323,NA,NA,1761.44380436673,553.174139092872,490.813307270897
"TCGA.C5.A1MQ",NA,1.38741742183021,NA,142.545413477318,1754.2461132148,144.136042358061,NA,414.573639927751,2022.46316077962,320.337898762469,1754.2461132148
"TCGA.C5.A1BK",141.104765357805,2660.20230490803,NA,1744.11039254515,1855.69706881799,48.7340257392303,NA,58.9717944178173,702.987233877593,NA,1855.69706881799
"TCGA.JW.A5VL",NA,NA,NA,382.212875445814,4712.73934609365,NA,589.604606886121,502.423745461423,2584.0578550366,329.313777612161,4712.73934609365
"TCGA.DG.A2KM",106.346443162257,200.570803420457,304.772756972306,85.431173539041,NA,158.715220518572,NA,NA,2709.8632024276,582.692666690927,0
"TCGA.EA.A5ZF",NA,NA,NA,75.035669051696,1488.37326669369,218.342810770109,NA,828.156994062511,4629.00252245755,412.332252872739,1488.37326669369
"TCGA.EX.A449",177.468003953795,NA,302.107715795243,160.123407747206,1601.56153792413,114.36792947816,NA,NA,1290.70686807924,498.370808598313,1601.56153792413
"TCGA.IR.A3LA",822.872762464515,461.719453321178,262.196158314315,738.432470733596,NA,NA,NA,2237.68966075884,3983.64828282037,468.714592708585,0
"TCGA.DS.A1OC",NA,NA,610.036589192037,32.0151483141276,636.688971949394,113.890470306074,NA,195.88298922438,1496.99463701987,1777.12406658616,636.688971949394
"TCGA.EK.A2R9",293.174499006781,NA,320.621122541124,281.97558127051,4915.22254188367,328.725082054767,NA,609.123311202876,3730.29913801383,NA,4915.22254188367
"TCGA.DG.A2KH",NA,NA,NA,319.612414530252,3766.35683531131,65.4353032332099,6.53296605247906,1003.44736512718,2993.65298006292,694.87018981606,3766.35683531131
"TCGA.ZJ.A8QQ",NA,3227.62726548023,305.259406383528,2697.20304439272,211.470146010896,61.9965936130436,NA,NA,2225.97501199745,367.366644148885,211.470146010896
"TCGA.EK.A2RN",NA,NA,NA,259.553158835484,3271.59369060803,37.2332715732442,58.029862423005,1843.29464201624,2796.00614998642,1593.6062794786,3271.59369060803
"TCGA.VS.A9V2",152.474955772352,NA,650.639061564132,150.187233264943,2902.16389360269,149.673682778498,NA,NA,615.856080050199,274.952770734438,2902.16389360269
"TCGA.C5.A1BL",646.73404964607,NA,NA,145.662115914521,1515.54073496777,745.983380252129,NA,597.108375664844,12211.0488454909,648.633874343789,1515.54073496777
"TCGA.VS.A8EH",98.4937010731617,24.1275235706808,571.669218334426,113.491679919478,NA,93.6900344853359,NA,NA,2948.31195930973,957.96119966721,0
"TCGA.EK.A2PK",180.194396594565,NA,NA,140.277460597943,863.371675251362,131.669474870253,NA,542.731478069947,2007.27414756425,931.091343872443,863.371675251362
"TCGA.C5.A3HF",463.048537974765,0.794140160873985,NA,NA,532.507087696919,328.648045263948,NA,250.173900419353,8460.67878468485,920.382264003655,532.507087696919
"TCGA.C5.A1MP",51.39783947262,NA,238.232536443756,100.289343964784,765.13076599279,78.0300273548719,NA,NA,1505.52973471967,706.556526691114,765.13076599279
"TCGA.ZJ.AAXF",50.790660902243,NA,206.396436953505,NA,660.673659732521,41.7514523591071,94.6702117785066,179.867656618154,1269.00329375032,NA,660.673659732521
"TCGA.JW.A5VG",12.0485976023055,NA,NA,1.26129903740382,134.996817399131,11.0285935968163,NA,49.6333940272573,51.4540998997072,NA,134.996817399131
"TCGA.VS.A94Y",96.1930392843399,NA,NA,70.3822233795598,1524.75923485196,188.378440802329,NA,462.376291810457,2970.54147904218,231.448304974837,1524.75923485196
"TCGA.VS.A9UT",79.4373254447523,NA,455.636123399148,NA,625.488742263146,110.201779308598,NA,153.268714973852,2340.76587627995,13.131229341143,625.488742263146
"TCGA.EK.A2RC",50.1315822158314,NA,NA,29.6683366103112,1004.13368759855,119.119206708368,NA,179.056556524085,2144.97591169281,66.2179450788847,1004.13368759855
"TCGA.EK.A2RK",643.380509636547,NA,327.285173688019,NA,590.521895808035,212.129507130283,NA,80.8420617664589,4946.67795404813,163.130702973696,590.521895808035
"TCGA.JX.A5QV",NA,43.389368463659,NA,113.080726158048,2293.73020676283,124.591155571111,999.75964200755,NA,2341.7892127682,755.561906166022,2293.73020676283
"TCGA.MA.AA3X",NA,NA,NA,187.673504882599,2438.47723732913,61.4672976551776,NA,1256.5953183697,2195.32001808652,1158.51290714823,2438.47723732913
"TCGA.C5.A1MK",80.4946045895987,NA,645.477542365682,54.6447854136982,633.744403943896,155.522186567171,NA,NA,2432.16066122316,918.884856825228,633.744403943896
"TCGA.C5.A2LX",229.363959565312,NA,737.925254032818,239.495952815552,5621.72979262679,415.851354641139,NA,552.911487310457,5365.22183307775,NA,5621.72979262679
"TCGA.C5.A3HE",22.2807190582258,NA,NA,80.5504076584268,889.811233104923,99.5698465195128,NA,250.419463972891,1797.26985386196,106.092195413434,889.811233104923
"TCGA.C5.A8YR",118.388354083024,NA,511.130354849216,71.2059474101851,401.44824913255,59.4724646819933,NA,NA,1563.89066189714,855.064067455735,401.44824913255
"TCGA.EK.A2PI",124.367136249374,23.9244638505628,187.858343011904,NA,555.058935203118,27.4332964006686,NA,144.566488784639,2399.39056727878,NA,555.058935203118
"TCGA.EK.A2RM",96.0345946363627,155.175960452419,NA,86.4919442329358,NA,184.12212764878,NA,407.455670324945,5339.37690117745,1313.95226596344,0
"TCGA.DS.A7WI",42.5220075046616,NA,104.856984727633,30.4896488491027,652.273963881346,52.3243494494798,23.8133714377041,NA,939.176846030631,NA,652.273963881346
"TCGA.VS.A8QH",200.744307626006,NA,191.148647098774,36.7128155421878,677.681044002527,44.13665042902,NA,94.3573730329149,2826.97369160716,NA,677.681044002527
"TCGA.UC.A7PI",85.3258026928759,NA,NA,59.7391276193156,1150.20698923281,127.53955308709,NA,505.520121679503,2882.12082895167,221.505753195666,1150.20698923281
