"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_28","Signature_3","Signature_31","Signature_34","Signature_40","Signature_5","Signature_8","df.extra"
"TCGA.BG.A3PP",326.373168517408,36.4467502292257,NA,NA,32.4777648202243,NA,NA,NA,NA,NA,1300.67016136762,3429.50701355168,202.705931868212,0
"TCGA.AP.A0LO",57.7438838526774,9.73311681292655,NA,7.3442686528087,130.952832193838,NA,NA,240.133291347729,NA,NA,169.946845023303,999.409306987546,176.26184904369,240.133291347729
"TCGA.EY.A72D",281.710092526664,785.387740957807,NA,133.442061453833,NA,204.147874021225,119.000160736558,5506.72752509474,NA,140.80103203011,NA,5551.49797887248,NA,5506.72752509474
"TCGA.AX.A2H7",203.550760608844,88.5659821546395,72.9180599773453,NA,324.21061222168,NA,NA,NA,NA,47.1259124892347,1637.74156144856,3119.77342193915,582.741539330683,0
"TCGA.EY.A1GE",84.1631929502333,287.99342049029,NA,57.7064870883356,NA,150.0871916375,8.52917872534898,2187.67816349401,NA,9.73061230366456,NA,1641.51048031841,NA,2187.67816349401
"TCGA.A5.A0GN",112.195233755249,274.564679772141,NA,NA,NA,NA,143.059444123036,1788.03491230386,NA,246.251697408684,3058.41037061752,3852.00521169625,423.268384026357,1788.03491230386
"TCGA.AP.A5FX",146.231299863473,125.939921084976,NA,NA,NA,40.0880474231624,61.3061878778223,1962.66426214152,NA,53.3421282066719,NA,2755.45447543061,333.346304980274,1962.66426214152
"TCGA.B5.A0JR",408.0091045381,181.913837746429,64.4923486919838,NA,NA,NA,81.4415484155259,262.770826419856,NA,NA,802.295857308063,8037.75569888522,828.487236280079,262.770826419856
"TCGA.BS.A0UM",134.944089894418,3.05657811862648,NA,NA,881.426372421328,NA,NA,NA,NA,NA,1191.34873964592,2291.3320845169,866.731500007731,0
"TCGA.EY.A1GX",373.206531567946,55.7818839854823,NA,NA,88.4435750357363,NA,16.5175008791293,NA,NA,NA,1177.97145361911,3919.23300489935,357.718450836923,0
"TCGA.AX.A3GB",117.051718599703,22.1861550675746,112.497493893653,NA,471.36553833642,160.384256854857,NA,762.69851691168,NA,NA,NA,490.298287450318,196.468831060036,762.69851691168
"TCGA.BG.A0LX",206.568605759794,NA,329.503422889084,NA,179.286267146237,570.625053619348,NA,NA,NA,NA,875.831414000947,1800.29562633761,421.911829880705,0
"TCGA.B5.A3FA",118.297311745116,8.1302668097281,NA,NA,80.0557525240698,NA,NA,186.360605399988,NA,NA,403.337672472946,1652.40535556416,357.187897537987,186.360605399988
"TCGA.AP.A1DQ",127.960991791132,198.103850035849,407.078402030826,NA,299.599007411095,364.652819148595,NA,NA,NA,NA,1897.33981238998,2900.56744699622,402.920257869756,0
"TCGA.B5.A5OC",66.6418762203962,47.4200024106771,NA,NA,59.7723453709886,NA,NA,658.622191466502,NA,120.680641622148,1167.2111539532,1877.07745890947,316.202429195413,658.622191466502
"TCGA.B5.A11Q",163.815860963434,428.461145574342,482.178524974306,NA,NA,776.513969738198,424.706263197031,7697.3765515714,NA,274.667074664094,NA,10187.3262789787,NA,7697.3765515714
"TCGA.AX.A2H4",80.5132054081567,72.6885482667799,NA,NA,694.171237210968,NA,3.98286167045718,180.824283130241,NA,NA,913.289663997912,2124.69846817781,668.929566282239,180.824283130241
"TCGA.A5.A0RA",49.6488938984065,89.1097592683024,NA,NA,NA,88.096433409757,82.8735116911669,2267.77499977808,NA,424.146235369777,NA,1900.23329607744,407.909204473753,2267.77499977808
