"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_34","Signature_35","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.59.2348",74.5630056017265,60.199930969897,59.4636465623625,NA,590.483040447526,9.592270579834,NA,NA,NA,NA,2298.23081864094,931.658630208073,127.87319486024,0
"TCGA.04.1331",NA,NA,NA,22.3257084559872,322.451774113843,56.0131562542449,671.870982108892,NA,NA,181.774166165568,2576.15542874553,429.049580805263,722.759087672454,671.870982108892
"TCGA.24.2033",255.690691830293,5.9776921921575,147.436408056511,16.0073799807638,NA,NA,489.645982642814,NA,NA,NA,6672.10522385104,750.373601675831,965.237783096624,489.645982642814
"TCGA.29.1696",85.3244331477901,NA,116.7787862811,NA,268.716556875104,70.4662045515225,615.142008404604,NA,NA,NA,2951.86695808885,594.07722836789,393.413776961159,615.142008404604
"TCGA.10.0930",NA,247.084980309637,NA,52.1466871158222,397.875522770773,72.1892469879,1726.85454709321,NA,NA,NA,1347.05338792801,457.787207020028,422.00935982678,1726.85454709321
"TCGA.04.1341",NA,NA,NA,61.9551743037675,343.683448258401,213.049032332915,4956.96448538612,NA,449.467793606313,609.058000462456,1437.35577824443,NA,2021.1894036953,4956.96448538612
"TCGA.23.1110",134.519764923751,NA,364.271574961474,NA,814.62071971335,326.294215437085,652.000924102926,NA,NA,NA,1865.52854533066,383.094885375389,94.721383668511,652.000924102926
"TCGA.13.0910",85.8166861818825,88.1996348585905,144.725386077,NA,NA,225.829119124711,1114.6707120234,NA,NA,NA,2856.01631748865,220.142632981208,908.332905057066,1114.6707120234
"TCGA.61.2094",60.3081885812034,NA,63.9947346728952,NA,468.149620500142,30.6204834061659,352.921918291559,NA,NA,NA,2020.67889489441,568.87087878938,295.188288521659,352.921918291559
"TCGA.23.1032",147.136137612356,34.7203983852676,NA,5.00378736125394,423.571957012483,NA,662.245459140453,NA,NA,NA,2635.7033996666,215.03356537695,345.36816369598,662.245459140453
"TCGA.04.1646",222.41187118582,NA,NA,NA,733.23481616272,NA,146.154637776992,NA,NA,146.09447131912,2269.10880573745,717.084077788849,62.4046245603373,146.154637776992
"TCGA.13.1487",94.4646483745221,87.5972536400412,NA,11.6483618594938,126.761067555873,52.1432537352133,1348.20909433419,NA,NA,NA,1187.11294582953,NA,298.126971471915,1348.20909433419
"TCGA.23.2079",94.1003310780957,57.4722454466696,201.820349783477,NA,290.225699372492,63.2052189636096,NA,NA,NA,NA,2972.82429746158,734.587940385814,443.147470833882,0
"TCGA.24.2280",3833.69982949376,NA,NA,612.313605160795,21506.8529349261,1047.44170739631,NA,NA,13335.1391070622,4841.95034056574,27943.5886354281,NA,4361.22135587374,0
"TCGA.29.1710",36.8845237368114,91.6705889722292,20.7414594913901,NA,110.431203321717,63.8570408091195,1270.4358174618,NA,NA,NA,1954.22828080319,NA,460.410141811077,1270.4358174618
"TCGA.61.1734",234.811551521897,NA,58.159801871016,NA,129.208889696588,20.4525367434198,493.586839749703,NA,NA,NA,2808.28291827423,305.719845397916,202.742196182041,493.586839749703
"TCGA.04.1360",63.0195411478315,58.627605261704,251.680909203494,NA,111.392113834747,314.912157820674,637.855641089904,NA,NA,NA,1132.62372967306,NA,183.212336275777,637.855641089904
"TCGA.29.1691",275.132326442898,96.087806215884,NA,22.0998763558757,NA,NA,4663.7933398417,NA,NA,993.753058711891,8675.44745293937,NA,1884.73743688586,4663.7933398417
"TCGA.61.2018",129.459245859722,26.6002018156727,NA,2.25884914656439,447.346482680779,NA,816.600900186862,NA,NA,NA,1829.66204573219,448.216734946728,184.921846352385,816.600900186862
"TCGA.09.2049",2870.86070955633,39.3631478493515,779.427769069797,NA,NA,410.089336165281,1728.42530493508,NA,NA,NA,32150.7446533933,NA,3374.90128912651,1728.42530493508
"TCGA.24.2298",265.09334297092,153.309840937489,122.192390953389,NA,NA,57.6141900738462,675.65227434011,NA,NA,NA,5978.05903095646,1059.35060255631,1024.49941802605,675.65227434011
"TCGA.31.1959",41.9462528471099,NA,741.984245994492,NA,260.670980354778,598.864355901219,278.67303953506,NA,NA,NA,891.843606148675,390.161361484132,124.038696761806,278.67303953506
"TCGA.24.1416",71.8953197287627,15.7881781459409,109.139729085442,NA,264.61517508864,10.0109684404185,NA,NA,NA,NA,2957.307499419,814.870652315275,506.034370437599,0
"TCGA.29.1697",107.091809633821,121.647514306266,172.492570447315,47.0488506292151,743.656690994391,NA,NA,NA,NA,NA,7071.89693396503,2032.65975259668,1133.45113914438,0
"TCGA.04.1652",119.617447858149,61.3910430234382,NA,NA,340.507661986261,NA,930.494474989189,NA,NA,NA,1568.45303205799,77.0161891636028,188.711103613973,930.494474989189
"TCGA.59.2351",108.785601217698,57.3996018340343,5.00155741615446,NA,1098.75036826485,NA,622.013561159648,NA,NA,NA,2244.20283852087,577.259116487098,133.643814722343,622.013561159648
"TCGA.09.2055",NA,63.3153848206241,19.5875203048432,7.39520746446567,1157.35694258025,NA,NA,NA,NA,NA,1615.2965609042,1239.53966483254,NA,0
"TCGA.61.1899",31.4364736519139,76.0838212822447,NA,NA,NA,115.46078224919,1466.08077433768,NA,NA,457.236810188594,2253.44387449939,714.298159569528,1067.87981284748,1466.08077433768
"TCGA.25.1320",51.8059441633461,NA,109.315049277221,NA,100.120038251859,31.6235849614174,129.356387907997,NA,NA,NA,2833.4396909407,657.744013299053,502.326358479741,129.356387907997
"TCGA.09.1673",111.645711306359,103.846419681251,35.916496426554,18.6576672764333,NA,76.1909135822125,1281.69118606983,NA,NA,NA,2286.64234136492,NA,664.320298561031,1281.69118606983
"TCGA.23.1111",279.471614362745,52.3726849934599,NA,NA,NA,44.1410703556505,1391.96929886667,NA,NA,394.615961153735,5696.8403783796,569.928609789833,1250.46495449339,1391.96929886667
"TCGA.61.1737",NA,NA,NA,153.093004351246,5612.14363734658,294.440004126067,NA,NA,NA,1981.7318924571,1745.31514339438,NA,NA,0
"TCGA.29.1784",98.357398585278,56.6007517282195,NA,NA,112.172081332237,19.6775752609822,663.27938683424,NA,NA,NA,2897.83171566277,370.60092109199,492.713428140532,663.27938683424
"TCGA.25.1326",331.687586654629,529.243480951872,NA,121.614544313127,430.194129848583,196.089341363025,4424.71969992227,NA,NA,NA,4696.6318840086,NA,1541.92088754511,4424.71969992227
"TCGA.24.2267",157.722949084028,153.757026077854,NA,39.7616567022707,299.21371234491,58.740954209357,2771.12278417181,NA,NA,NA,2296.9759495813,NA,814.913403726351,2771.12278417181
"TCGA.13.0884",168.188287737995,45.4042328675094,119.706320589801,NA,757.424346344978,120.729752123524,NA,NA,NA,NA,5361.04616249373,1190.37854729516,889.700925189615,0
"TCGA.25.2392",609.965093194876,294.916012745252,111.485235669351,118.635444476236,NA,232.206592346543,4433.70311870413,NA,NA,NA,8886.68660596492,NA,1947.15861034745,4433.70311870413
"TCGA.29.1711",94.7335481220055,232.818741723713,NA,40.4629357675382,339.344270671775,89.0752066487961,1881.65391170598,NA,NA,NA,606.92775588449,NA,368.410761329238,1881.65391170598
"TCGA.30.1718",221.916986294797,57.5794751454491,29.3142783052147,3.90883759641162,NA,20.7970880127502,1548.04020177248,NA,NA,NA,3216.79952038884,NA,739.882583938679,1548.04020177248
"TCGA.59.2348.1",650.613277284761,NA,NA,NA,373.13692531704,NA,681.343478868202,NA,NA,133.555022500398,4169.0714863354,541.491776870196,205.734032628696,681.343478868202
"TCGA.30.1857",43.9625874130132,NA,113.983222304503,NA,437.465927241349,60.4052668132426,369.303052032377,NA,NA,NA,2442.04609392988,775.450012861189,460.135173776144,369.303052032377
"TCGA.13.0765",75.4401784050369,123.813363199405,NA,NA,212.871028293262,97.6762902624573,1166.61611852633,NA,NA,NA,2058.66979099065,257.722593096889,745.246347547084,1166.61611852633
