"","Signature_1","Signature_13","Signature_17a","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_30","Signature_34","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.GM.A3XG",424.880658730169,NA,95.5420734817802,28.3862515224946,288.091346861462,NA,1051.33167869328,NA,NA,NA,2104.34838659172,235.336671716192,246.033747486834,1051.33167869328
"TCGA.A2.A0SY",193.161291335045,585.266954966444,NA,NA,613.921994130951,373.234124384193,356.155813443594,NA,NA,NA,3388.20399814235,922.508764907456,417.458211582763,356.155813443594
"TCGA.E2.A1IF",29.5920087121526,16.3394097378894,99.1651612368696,NA,1148.4759471249,NA,341.628693165842,NA,NA,NA,2150.76724497276,570.550466597717,209.449932356714,341.628693165842
"TCGA.A8.A07J",150.871693272748,NA,70.080469332143,28.0876624659075,154.286471169484,40.7250057653065,837.886965601205,NA,NA,NA,1391.04096276789,NA,387.806436311848,837.886965601205
"TCGA.A8.A08G",49.8966335440942,NA,67.4510697335668,NA,721.995490581734,5.99460190620373,83.8483524450374,NA,NA,NA,2015.33393556988,777.059844279341,112.864658804343,83.8483524450374
"TCGA.C8.A26X",61.1155555263432,NA,69.2100297215618,43.3404001191789,973.468787120143,230.534844872942,2764.92857497367,NA,NA,NA,199.752793497605,NA,400.103809896409,2764.92857497367
"TCGA.D8.A1XA",152.041317433256,NA,61.2586920473813,15.3193133630738,191.753688723676,NA,870.725137578666,NA,NA,NA,1209.39118531952,201.703938041072,192.05953111979,870.725137578666
"TCGA.AO.A12A",52.6506948131777,779.069149171939,52.0224032226791,NA,368.921056398547,1049.38007521287,NA,NA,NA,NA,2882.30767083777,456.073257753347,194.990247761355,0
"TCGA.A2.A0D2",NA,81.3029600139632,107.066627930989,NA,2027.78633940591,92.3353236779599,1035.44010095883,NA,NA,NA,2220.58453536083,355.913703397734,1204.59551611087,1035.44010095883
"TCGA.D8.A1JA",77.2838211881468,342.46537741294,66.6824191103615,NA,250.929778293336,306.338668834751,693.07904158319,NA,NA,NA,1561.66638827919,NA,109.112148651583,693.07904158319
"TCGA.BH.A18I",114.95977891948,NA,88.7841916492018,35.7644419856817,255.347015054932,95.1965098537544,1882.89716468073,NA,NA,NA,1128.07520368265,NA,301.511350797708,1882.89716468073
"TCGA.A7.A0CG",100.98717002266,NA,68.1910289652298,NA,200.296451969491,NA,952.060639806842,99.6873455562187,348.390896568818,NA,795.717886141411,NA,1202.9838376149,952.060639806842
"TCGA.D8.A1XO",1565.20390769004,301.390321204844,462.426303211448,NA,NA,38.080582072931,3112.66955771125,NA,NA,NA,22693.4657465929,23.7087250604292,3305.4114598522,3112.66955771125
"TCGA.A7.A0CH",149.27725016021,28.7993357860854,54.9723242856407,NA,645.143319827182,NA,412.274147952067,NA,NA,NA,2017.1617813537,589.895213625303,216.81769251021,412.274147952067
"TCGA.C8.A12K",90.1104686461707,NA,94.3791059418758,NA,200.005617583591,111.55786322323,1881.52803879421,NA,NA,NA,1420.77445500905,226.073391314026,439.497904647389,1881.52803879421
"TCGA.LL.A441",64.6936812525576,NA,62.8886091387762,3.31338527566029,473.041446395547,NA,800.705962185652,NA,NA,NA,996.039338223879,154.19186590568,173.52016688051,800.705962185652
"TCGA.BH.A0H3",79.5821920444554,65.2317222646119,67.0511497719356,NA,132.158657275998,49.9068792385084,NA,NA,NA,NA,1841.45538168133,437.529972898305,146.84012007307,0
"TCGA.D8.A1JE",239.218851103151,NA,129.662639789297,80.0284088519739,890.246061983062,218.327557908251,3836.9138390896,NA,NA,NA,2086.99466986644,NA,1022.44398803719,3836.9138390896
"TCGA.LL.A5YP",NA,574.560543476905,NA,NA,44648.5236503792,NA,NA,NA,NA,NA,NA,31631.350522989,NA,0
"TCGA.D8.A1XS",503.14504863177,NA,28.4197057044221,NA,402.394289470213,NA,117.202245721698,NA,NA,NA,3688.76221661446,549.604612431871,124.162336634945,117.202245721698
"TCGA.AO.A03L",168.582040081573,41.1321244234543,61.2470783426732,NA,198.372647234274,NA,432.101647211498,NA,NA,NA,2569.01751399648,184.276401465638,273.020666954137,432.101647211498
"TCGA.A7.A0DA",NA,NA,64.0442701627916,51.1099493455214,314.706163645158,48.6381268371505,1083.06285404093,NA,NA,NA,1242.33879963893,417.094486356604,279.667355454198,1083.06285404093
